# Clip 6 word-timing table | src window 1350-1470s | comp = src - 1350
# format: comp_t  src_t  word
   0.38   1350.38   like
   1.18   1351.18   allocates
   2.04   1352.04   liquidity
   2.62   1352.62   or
   3.12   1353.12   like
   3.34   1353.34   capital
   3.86   1353.86   into
   4.20   1354.20   crypto.
   4.56   1354.56   And
   4.98   1354.98   we've
   5.56   1355.56   never
   5.72   1355.72   seen
   5.92   1355.92   this
   6.08   1356.08   before,
   6.40   1356.40   but
   6.60   1356.60   it
   6.94   1356.94   is
   7.16   1357.16   ETFs.
   7.90   1357.90   It's
   8.04   1358.04   digital
   8.30   1358.30   asset
   8.58   1358.58   treasury
   9.00   1359.00   companies.
   9.72   1359.72   And
  10.06   1360.06   then,
  10.30   1360.30   yes,
  10.50   1360.50   we
  10.68   1360.68   still
  10.90   1360.90   have
  11.12   1361.12   a
  11.24   1361.24   traditional
  11.68   1361.68   on
  12.08   1362.08   off
  12.48   1362.48   ramp
  13.00   1363.00   like
  13.46   1363.46   stablecoin
  14.04   1364.04   to
  14.18   1364.18   USD
  14.48   1364.48   and
  14.72   1364.72   vice
  14.94   1364.94   versa.
  15.94   1365.94   But
  16.54   1366.54   yeah,
  16.82   1366.82   ETF
  17.08   1367.08   flows
  17.42   1367.42   are
  17.68   1367.68   increasingly
  18.20   1368.20   more
  18.54   1368.54   important.
  18.94   1368.94   And
  19.20   1369.20   the
  19.32   1369.32   outflows,
  20.54   1370.54   I
  20.80   1370.80   think
  21.04   1371.04   ETF
  21.56   1371.56   flows
  21.94   1371.94   generally
  22.30   1372.30   are
  22.66   1372.66   pretty
  22.96   1372.96   reactive.
  24.48   1374.48   They
  25.24   1375.24   tend
  25.62   1375.62   to
  26.02   1376.02   be
  27.34   1377.34   a
  27.84   1377.84   catalyst
  28.20   1378.20   for
  28.62   1378.62   price
  29.04   1379.04   decline,
  29.44   1379.44   but
  29.96   1379.96   then
  30.12   1380.12   they
  30.28   1380.28   are
  30.42   1380.42   very
  30.94   1380.94   self
  31.34   1381.34  -propelling
  31.84   1381.84   because
  32.22   1382.22   the
  33.20   1383.20   allocators
  34.18   1384.18   of
  34.74   1384.74   ETFs,
