# Clip 7 word-timing table | src window 1515-1600s | comp = src - 1515
# format: comp_t  src_t  word
   0.16   1515.16   a
   0.26   1515.26   very
   0.44   1515.44   healthy
   0.80   1515.80   shakeout.
   2.26   1517.26   I
   2.70   1517.70   think
   2.86   1517.86   a
   3.02   1518.02   lot
   3.10   1518.10   of
   3.24   1518.24   leverage
   3.68   1518.68   flushes
   4.12   1519.12   out
   4.26   1519.26   of
   4.36   1519.36   the
   4.50   1519.50   system
   4.84   1519.84   and
   5.08   1520.08   then
   5.34   1520.34   we
   6.04   1521.04   get
   6.24   1521.24   to
   6.40   1521.40   see,
   6.82   1521.82   OK,
   7.04   1522.04   what
   7.50   1522.50   is
   7.64   1522.64   actually
   8.12   1523.12   functioning?
   9.00   1524.00   What
   9.10   1524.10   is
   9.30   1524.30   robust
   9.78   1524.78   enough
  10.06   1525.06   for
  10.42   1525.42   us
  10.62   1525.62   to
  10.84   1525.84   carry
  11.22   1526.22   into
  11.48   1526.48   the
  11.60   1526.60   next
  11.76   1526.76   cycle?
  12.14   1527.14   Well,
  12.74   1527.74   to
  12.86   1527.86   your
  13.02   1528.02   point
  13.34   1528.34   around
  14.10   1529.10   building
  14.52   1529.52   as
  14.74   1529.74   well,
  15.08   1530.08   I
  15.22   1530.22   feel
  15.60   1530.60   like
  15.76   1530.76   we
  15.94   1530.94   always
  16.52   1531.52   exit
  17.66   1532.66   bear
  18.86   1533.86   markets
  19.40   1534.40   in
  19.74   1534.74   a
  19.82   1534.82   very
  20.02   1535.02   interesting
  20.56   1535.56   fashion
  21.08   1536.08   where
  21.46   1536.46   if
  22.18   1537.18   you
  22.24   1537.24   think
  22.40   1537.40   about
  22.58   1537.58   even
  22.80   1537.80   the
  22.94   1537.94   last
  23.20   1538.20   time,
  23.56   1538.56   like
  23.70   1538.70   the
  24.68   1539.68   sort
  24.86   1539.86   of
  24.98   1539.98   24,
  25.68   1540.68   we
  25.74   1540.74   had
  26.04   1541.04   the
  26.26   1541.26   ETF
  26.58   1541.58   announcements.
  27.10   1542.10   But
  27.48   1542.48   then
  27.64   1542.64   suddenly
  28.08   1543.08   we
  28.30   1543.30   had
  28.52   1543.52   like
  28.76   1543.76   inscriptions
  29.72   1544.72   and
  30.00   1545.00   ordinals.
  30.74   1545.74   So
  30.78   1545.78   people
  31.04   1546.04   were
  31.22   1546.22   excited
  31.58   1546.58   about
  31.88   1546.88   like
  32.08   1547.08   Bitcoin,
  32.58   1547.58   DeFi.
  33.20   1548.20   Then
  33.72   1548.72   we
  33.84   1548.84   had
  34.02   1549.02   deep
  34.34   1549.34   intaking
  34.78   1549.78   off.
  35.42   1550.42   Then
  35.50   1550.50   we
  35.60   1550.60   had
  35.82   1550.82   AI
  36.24   1551.24   agents
  36.74   1551.74   and
  36.94   1551.94   like
  37.08   1552.08   the
  37.18   1552.18   very
  37.40   1552.40   early
  37.78   1552.78   inflection
  38.76   1553.76   there.
  39.26   1554.26   So
  39.40   1554.40   I'm
  41.02   1556.02   very
  41.28   1556.28   curious
  41.78   1556.78   what
  42.14   1557.14   we
  43.06   1558.06   will
  43.36   1558.36   come
  43.56   1558.56   up
  43.78   1558.78   with
  44.04   1559.04   as
  44.40   1559.40   the
  44.54   1559.54   next
  44.80   1559.80   narrative
  45.22   1560.22   to
  45.50   1560.50   get
  45.72   1560.72   excited
  46.16   1561.16   about,
  46.62   1561.62   because
  46.86   1561.86   it
  47.54   1562.54   is
  47.82   1562.82   again,
  48.44   1563.44   this
  48.64   1563.64   it's
  49.48   1564.48   a
  49.66   1564.66   spiral
  50.14   1565.14   where
  50.40   1565.40   like
  50.70   1565.70   prices
  51.30   1566.30   go
  51.54   1566.54   up.
  52.02   1567.02   We
  52.12   1567.12   find
  52.36   1567.36   the
  52.48   1567.48   narrative.
  53.02   1568.02   People
  53.16   1568.16   get
  53.34   1568.34   excited
  53.80   1568.80   about
  54.08   1569.08   it
  54.32   1569.32   late
  55.64   1570.64   in
  55.86   1570.86   the
  55.96   1570.96   cycle.
  56.32   1571.32   For
  56.54   1571.54   example,
  57.06   1572.06   we
  57.06   1572.06   had
  57.22   1572.22   like
  57.36   1572.36   perp
  57.72   1572.72   dexes,
  58.46   1573.46   meme
  58.60   1573.60   con
  58.78   1573.78   launch
  59.08   1574.08   platforms.
  60.40   1575.40   But
  60.88   1575.88   that
  61.08   1576.08   cadence
  61.46   1576.46   of
  61.64   1576.64   innovation,
  62.04   1577.04   I
  62.24   1577.24   think
  62.38   1577.38   is
  62.50   1577.50   super
  62.76   1577.76   interesting
  63.16   1578.16   to
  63.76   1578.76   see.
  64.60   1579.60   I
  65.08   1580.08   think
  65.22   1580.22   it's
  65.42   1580.42   anyone's
  65.94   1580.94   guess
  66.24   1581.24   currently
  66.92   1581.92   privacy
  67.72   1582.72   and
  68.44   1583.44   AI.
  69.24   1584.24   I
  69.24   1584.24   think
  69.46   1584.46   top
  69.88   1584.88   of
  70.04   1585.04   mind
  70.22   1585.22   for
  70.44   1585.44   many.
  70.96   1585.96   Those
  71.16   1586.16   are
  71.28   1586.28   like
  71.44   1586.44   the,
  71.72   1586.72   I
  72.58   1587.58   think
  72.70   1587.70   the
  72.84   1587.84   front
  73.14   1588.14   runners
  73.56   1588.56   in
  74.10   1589.10   terms
  74.54   1589.54   of
  74.72   1589.72   what
  74.88   1589.88   we
  75.04   1590.04   might
  75.28   1590.28   see.
  75.70   1590.70   So
  75.82   1590.82   I
  76.28   1591.28   wouldn't
  76.48   1591.48   be
  76.60   1591.60   surprised
  77.00   1592.00   if
  77.22   1592.22   they
  77.44   1592.44   are
  77.78   1592.78   either
  78.12   1593.12   completely
  78.74   1593.74   in
  78.94   1593.94   that
  79.08   1594.08   vertical
  79.50   1594.50   or
  79.80   1594.80   at
  80.00   1595.00   least
  80.14   1595.14   adjacent
  80.60   1595.60   to
  80.84   1595.84   it.
  82.32   1597.32   Yeah.
  84.52   1599.52   I
  84.96   1599.96   also
