# Clip 1 word-timing table | src window 220-350s | comp = src - 220
# format: comp_t  src_t  word
   0.44    220.44   I
   0.52    220.52   think
   0.68    220.68   now
   0.96    220.96   we're
   1.14    221.14   at
   1.28    221.28   an
   1.46    221.46   interesting
   1.98    221.98   point
   2.32    222.32   in
   2.50    222.50   time
   2.76    222.76   where
   3.08    223.08   there
   3.90    223.90   is
   4.14    224.14   a
   4.30    224.30   very
   4.42    224.42   strong
   4.72    224.72   convergence
   5.28    225.28   between
   5.76    225.76   like
   6.48    226.48   everything
   6.88    226.88   that's
   7.18    227.18   happening
   7.54    227.54   in
   8.14    228.14   crypto,
   8.92    228.92   DeFi,
   9.36    229.36   and
  10.36    230.36   the
  10.44    230.44   technology
  10.82    230.82   itself
  11.22    231.22   and
  11.74    231.74   the
  12.08    232.08   traditional
  12.50    232.50   financial
  12.88    232.88   space,
  13.42    233.42   but
  13.54    233.54   also
  13.76    233.76   other
  14.00    234.00   industries.
  14.82    234.82   So
  14.92    234.92   while
  16.04    236.04   currently
  16.50    236.50   we
  16.78    236.78   say
  17.22    237.22   like
  17.46    237.46   we're
  17.70    237.70   full
  18.00    238.00   time
  18.20    238.20   in
  18.54    238.54   crypto,
  18.90    238.90   I
  19.10    239.10   think
  19.28    239.28   in
  19.58    239.58   like
  19.72    239.72   half
  19.98    239.98   a
  20.10    240.10   decade
  20.36    240.36   or
  20.54    240.54   so,
  20.82    240.82   it's
  21.22    241.22   just
  21.34    241.34   going
  21.48    241.48   to
  21.58    241.58   be
  21.68    241.68   another
  21.90    241.90   career
  22.28    242.28   in
  22.82    242.82   an
  23.34    243.34   industry.
  23.70    243.70   And
  23.92    243.92   you
  24.04    244.04   happen
  24.26    244.26   to
  24.42    244.42   have
  24.68    244.68   like
  24.92    244.92   exposure
  25.40    245.40   to
  25.60    245.60   either
  25.82    245.82   blockchain
  26.22    246.22   technology
  26.78    246.78   or
  27.12    247.12   cryptocurrency.
  28.44    248.44   But
  29.00    249.00   it
  29.10    249.10   is
  29.22    249.22   moving
  29.48    249.48   very
  29.76    249.76   fast.
  30.30    250.30   Like
  30.34    250.34   I
  30.46    250.46   haven't
  30.86    250.86   seen
  31.00    251.00   it
  31.16    251.16   moving
  31.38    251.38   like
  31.60    251.60   this
  31.88    251.88   for
  33.38    253.38   as
  33.56    253.56   long
  33.72    253.72   as
  33.90    253.90   I've
  34.08    254.08   been
  34.22    254.22   looking
  34.48    254.48   at
  34.66    254.66   space.
  35.86    255.86   Yeah,
  36.86    256.86   I
  37.00    257.00   cannot
  37.28    257.28   disagree
  37.64    257.64   with
  38.60    258.60   that,
  39.14    259.14   obviously.
  40.30    260.30   So
  40.86    260.86   for
  41.02    261.02   someone
  41.32    261.32   who
  41.62    261.62   never
  41.94    261.94   thought
  42.28    262.28   about
  42.56    262.56   it,
  43.26    263.26   what
  43.90    263.90   does
  44.16    264.16   an
  44.34    264.34   OTC
  44.68    264.68   desk
  45.08    265.08   at
  45.40    265.40   a
  45.52    265.52   firm
  45.72    265.72   like
  45.88    265.88   Wintermute
  46.40    266.40   do
  46.76    266.76   exactly?
  49.78    269.78   Yeah,
  50.34    270.34   that's
  50.90    270.90   a
  50.96    270.96   good
  51.08    271.08   question.
  51.48    271.48   So
  52.08    272.08   OTC
  52.78    272.78   trading
  53.30    273.30   is
  53.86    273.86   obviously,
  54.64    274.64   so
  54.96    274.96   bread
  55.20    275.20   and
  55.34    275.34   butter
  55.58    275.58   is
  55.76    275.76   market
  56.06    276.06   making,
