# Clip 8 word-timing table | src window 1675-1845s | comp = src - 1675
# format: comp_t  src_t  word
   0.04   1675.04   fell
   0.32   1675.32   into
   0.52   1675.52   the
   0.66   1675.66   hands
   0.88   1675.88   of
   1.04   1676.04   billions
   1.34   1676.34   of
   1.54   1676.54   users.
   2.20   1677.20   I
   2.72   1677.72   can
   2.88   1677.88   tell
   3.08   1678.08   you
   3.24   1678.24   that
   3.48   1678.48   I
   3.70   1678.70   think
   3.82   1678.82   the
   3.98   1678.98   work
   4.24   1679.24   which
   4.54   1679.54   I'm
   4.78   1679.78   doing
   4.98   1679.98   today
   5.34   1680.34   would
   5.64   1680.64   require
   6.12   1681.12   a
   6.36   1681.36   team
   6.68   1681.68   of
   7.00   1682.00   two
   8.46   1683.46   to
   8.68   1683.68   three
   8.90   1683.90   people,
   9.52   1684.52   two
   9.54   1684.54   very
   9.78   1684.78   hard
  10.04   1685.04   to
  10.30   1685.30   do,
  10.62   1685.62   three
  10.68   1685.68   very
  10.98   1685.98   hard
  11.26   1686.26   working
  11.58   1686.58   people
  11.90   1686.90   at
  12.06   1687.06   least
  12.38   1687.38   to
  13.20   1688.20   conduct
  13.60   1688.60   the
  13.76   1688.76   research.
  14.52   1689.52   And
  14.96   1689.96   for
  15.12   1690.12   me,
  15.52   1690.52   like
  15.68   1690.68   I'm
  16.12   1691.12   doing
  16.26   1691.26   research
  16.68   1691.68   and
  16.98   1691.98   I'm
  17.14   1692.14   trading.
  17.44   1692.44   So
  18.00   1693.00   it's,
  18.90   1693.90   it's
  19.42   1694.42   just
  19.66   1694.66   completely
  20.20   1695.20   collapses
  20.76   1695.76   like
  21.16   1696.16   a
  21.38   1696.38   lot
  21.48   1696.48   of
  21.64   1696.64   the
  21.92   1696.92   longer
  22.68   1697.68   duration
  23.32   1698.32   graft
  23.74   1698.74   work,
  24.30   1699.30   which
  24.42   1699.42   has
  24.66   1699.66   to
  24.82   1699.82   do
  24.98   1699.98   with
  25.26   1700.26   analysis
  26.08   1701.08   data
  27.14   1702.14   gathering.
  28.20   1703.20   So
  28.72   1703.72   yeah,
  29.14   1704.14   like
  29.24   1704.24   I,
  29.84   1704.84   it
  29.88   1704.88   night
  30.74   1705.74   and
  30.92   1705.92   day
  31.10   1706.10   difference
  31.52   1706.52   versus
  31.84   1706.84   how
  32.10   1707.10   I
  32.28   1707.28   used
  32.44   1707.44   to
  32.54   1707.54   work
  32.72   1707.72   five
  32.96   1707.96   years
  33.22   1708.22   ago,
  33.46   1708.46   I
  33.52   1708.52   think.
  34.64   1709.64   Yeah,
  35.64   1710.64   in
  35.90   1710.90   terms
  36.08   1711.08   of
  36.30   1711.30   trading
  36.72   1711.72   with
  37.06   1712.06   AI,
  37.52   1712.52   like
  37.66   1712.66   we
  37.86   1712.86   obviously
  38.70   1713.70   also
  39.16   1714.16   the
  39.40   1714.40   benefits
  39.82   1714.82   of
  40.02   1715.02   like,
  40.40   1715.40   now
  40.60   1715.60   you
  40.78   1715.78   can
  40.98   1715.98   pretty
  41.24   1716.24   much
  41.50   1716.50   do
  41.78   1716.78   any
  42.18   1717.18   bots
  42.54   1717.54   or
  42.90   1717.90   any
  43.20   1718.20   trading
  43.62   1718.62   application
  44.18   1719.18   yourself,
  45.22   1720.22   basically
  45.40   1720.40   with
  45.64   1720.64   AI.
  47.20   1722.20   But
  47.60   1722.60   what
  47.80   1722.80   we,
  48.04   1723.04   what
  48.30   1723.30   we
  48.66   1723.66   looking
  49.36   1724.36   at
  49.58   1724.58   these
  49.76   1724.76   days,
  50.04   1725.04   one
  50.12   1725.12   of
  50.22   1725.22   the
  50.32   1725.32   same
  50.52   1725.52   we
  50.62   1725.62   are
  50.68   1725.68   exploring
  50.96   1725.96   is
  51.20   1726.20   basically
  51.80   1726.80   completely
  53.20   1728.20   revamping
  53.74   1728.74   the
  53.86   1728.86   whole
  54.12   1729.12   trading
  54.50   1729.50   experience
  55.02   1730.02   from
  55.36   1730.36   instead
  55.78   1730.78   of
  55.94   1730.94   using
  56.20   1731.20   other
  56.52   1731.52   books
  56.90   1731.90   and
  57.14   1732.14   charts,
  57.86   1732.86   you
  58.38   1733.38   could
  58.52   1733.52   just
  58.76   1733.76   talk
  59.02   1734.02   to
  59.16   1734.16   a
  59.24   1734.24   terminal
  59.52   1734.52   and
  59.70   1734.70   say,
  59.92   1734.92   hey,
