# Clip 4 word-timing table | src window 1010-1115s | comp = src - 1010
# format: comp_t  src_t  word
   0.08   1010.08   offsetting
   0.64   1010.64   that
   0.84   1010.84   with
   1.12   1011.12   perpetual
   1.72   1011.72   futures.
   2.46   1012.46   And
   2.94   1012.94   I
   3.02   1013.02   think
   3.16   1013.16   something
   3.46   1013.46   that
   3.66   1013.66   happens,
   4.04   1014.04   which
   4.36   1014.36   threw
   4.60   1014.60   a
   4.76   1014.76   lot
   4.86   1014.86   of
   5.16   1015.16   dealers
   6.30   1016.30   off
   6.64   1016.64   is
   7.08   1017.08   the
   7.60   1017.60   fact
   7.82   1017.82   that
   8.18   1018.18   centralized
   8.94   1018.94   exchanges
   9.56   1019.56   where
   9.86   1019.86   these
  10.10   1020.10   perpetual
  10.52   1020.52   futures
  10.98   1020.98   are
  11.18   1021.18   hosted
  11.58   1021.58   issued
  13.08   1023.08   their
  13.46   1023.46   ADL,
  14.16   1024.16   whatever,
  14.72   1024.72   basically
  15.12   1025.12   turns
  16.02   1026.02   out.
  16.34   1026.34   It's
  16.58   1026.58   for
  17.36   1027.36   any
  17.70   1027.70   participant
  18.18   1028.18   that
  18.40   1028.40   was
  18.60   1028.60   too
  18.80   1028.80   deep
  19.02   1029.02   in
  19.14   1029.14   the
  19.20   1029.20   money.
  19.62   1029.62   But
  19.98   1029.98   as
  20.14   1030.14   a
  20.22   1030.22   result,
  20.76   1030.76   your
  20.92   1030.92   delta
  21.24   1031.24   completely
  21.74   1031.74   shifts
  22.22   1032.22   in
  22.38   1032.38   your
  22.50   1032.50   structure
  22.88   1032.88   where
  23.16   1033.16   you
  23.72   1033.72   would
  23.86   1033.86   be
  23.96   1033.96   delta
  24.22   1034.22   neutral,
  24.78   1034.78   let's
  24.94   1034.94   say,
  25.26   1035.26   like
  25.40   1035.40   your
  26.20   1036.20   long
  27.56   1037.56   spot,
  28.12   1038.12   you're
  28.28   1038.28   short
  28.62   1038.62   to
  28.80   1038.80   the
  28.90   1038.90   burp.
  30.06   1040.06   The
  30.54   1040.54   like
  31.02   1041.02   spots
  31.64   1041.64   goes
  32.36   1042.36   down
  32.68   1042.68   negatively,
  33.40   1043.40   like
  33.52   1043.52   meaningfully.
  34.60   1044.60   Your
  34.68   1044.68   burp
  35.08   1045.08   is
  35.34   1045.34   deeply
  35.74   1045.74   in
  35.88   1045.88   the
  35.96   1045.96   money.
  36.44   1046.44   You
  36.46   1046.46   get
  36.64   1046.64   closed
  37.00   1047.00   out
  37.30   1047.30   and
  37.52   1047.52   therefore
  37.80   1047.80   you
  37.98   1047.98   have
  38.16   1048.16   a
  38.46   1048.46   naked
  38.90   1048.90   long
  39.28   1049.28   delta.
  40.42   1050.42   But
  40.50   1050.50   as
  40.78   1050.78   a
  40.86   1050.86   result,
  41.38   1051.38   I
  41.40   1051.40   think
  41.60   1051.60   a
  41.88   1051.88   lot
  41.96   1051.96   of
  42.06   1052.06   people
  42.38   1052.38   close
  42.76   1052.76   out
  42.94   1052.94   that
  43.14   1053.14   position,
  43.82   1053.82   creating
  44.48   1054.48   this
  44.80   1054.80   very
  45.16   1055.16   strong
  45.50   1055.50   feedback
  45.92   1055.92   loop
  46.38   1056.38   of
  46.76   1056.76   continuous
  47.54   1057.54   pressure
  48.04   1058.04   into
  48.38   1058.38   the
  48.54   1058.54   market,
  49.08   1059.08   which
  49.60   1059.60   then
  49.82   1059.82   led
  50.02   1060.02   to
  50.20   1060.20   like,
  50.72   1060.72   as
  50.88   1060.88   we
  50.98   1060.98   all
  51.12   1061.12   know,
  51.40   1061.40   like
  51.56   1061.56   some
  51.92   1061.92   alts
  52.18   1062.18   were
  52.32   1062.32   down
  52.46   1062.46   like
  52.66   1062.66   60,
  53.16   1063.16   70,
  53.54   1063.54   80%.
  54.02   1064.02   It
  55.12   1065.12   was
  55.28   1065.28   extremely
  55.74   1065.74   hectic,
  56.20   1066.20   but
  56.66   1066.66   also
  57.00   1067.00   I
  57.34   1067.34   think
  57.54   1067.54   it
  57.86   1067.86   was
  58.02   1068.02   shorter
  58.52   1068.52   than
  59.60   1069.60   a
  59.90   1069.90   lot
  60.00   1070.00   of
  60.12   1070.12   people
  60.38   1070.38   think.
  62.26   1072.26   Like
  62.70   1072.70   that
  63.04   1073.04   real
  64.22   1074.22   compression
  64.96   1074.96   and
  65.30   1075.30   the
  65.42   1075.42   stress
  65.76   1075.76   was
  66.38   1076.38   over
  66.68   1076.68   a
  66.86   1076.86   shorter
  67.06   1077.06   period
  67.40   1077.40   of
  67.58   1077.58   time
  67.76   1077.76   than
  67.92   1077.92   I
  68.04   1078.04   think
  68.20   1078.20   a
  68.32   1078.32   lot
  68.40   1078.40   of
  68.52   1078.52   people
  68.88   1078.88   like
  69.98   1079.98   appreciate.
  71.12   1081.12   It
  71.46   1081.46   was
  71.60   1081.60   really,
  71.88   1081.88   I
  72.06   1082.06   think,
  72.34   1082.34   half
  72.60   1082.60   an
  72.76   1082.76   hour
  72.86   1082.86   to
  73.00   1083.00   45
  73.40   1083.40   minutes
  73.68   1083.68   before
  73.98   1083.98   everything
  74.36   1084.36   picked
  74.66   1084.66   up
  74.86   1084.86   back
  75.08   1085.08   up.
  75.30   1085.30   But
  75.80   1085.80   the
  75.94   1085.94   real
  76.18   1086.18   damage,
  76.56   1086.56   I
  76.76   1086.76   think,
  77.10   1087.10   was
  77.22   1087.22   then
  77.46   1087.46   on
  77.94   1087.94   the
  78.72   1088.72   liquidation
  79.52   1089.52   on
  79.66   1089.66   the
  79.74   1089.74   burp
  80.00   1090.00   side,
  80.38   1090.38   right?
  80.60   1090.60   I
  80.68   1090.68   think
  80.92   1090.92   like
  81.64   1091.64   leverage
  82.10   1092.10   the
  82.36   1092.36   spot
  82.60   1092.60   ratio
  83.02   1093.02   on
  83.20   1093.20   volumes
  83.60   1093.60   was
  83.86   1093.86   like
  84.00   1094.00   20
  84.36   1094.36   or
  84.52   1094.52   25x.
  85.56   1095.56   So
  85.56   1095.56   there
  85.70   1095.70   was
  85.90   1095.90   25
  86.44   1096.44   times
  87.32   1097.32   more
  87.64   1097.64   derivatives
  88.12   1098.12   trade
  88.38   1098.38   than
  88.60   1098.60   spots,
  89.24   1099.24   meaning
  89.36   1099.36   that
  89.68   1099.68   the
  90.68   1100.68   melt
  91.00   1101.00   up
  91.16   1101.16   which
  91.68   1101.68   we
  91.88   1101.88   saw
  92.10   1102.10   before
  92.58   1102.58   226k
  94.06   1104.06   was
  94.98   1104.98   very
  95.84   1105.84   heavily
  96.24   1106.24   supported
  96.72   1106.72   by
  96.96   1106.96   leverage.
  97.36   1107.36   And
  97.90   1107.90   then
  98.02   1108.02   if
  98.30   1108.30   you
  99.22   1109.22   have
  99.48   1109.48   like
  99.68   1109.68   a
  99.88   1109.88   lot
  99.98   1109.98   of
