# Clip 3 word-timing table | src window 700-810s | comp = src - 700
# format: comp_t  src_t  word
   0.16    700.16   Yeah.
   1.00    701.00   Yeah,
   1.16    701.16   yeah.
   1.28    701.28   I
   1.82    701.82   think
   2.02    702.02   we're
   2.90    702.90   definitely,
   3.54    703.54   I
   4.12    704.12   was
   5.04    705.04   also,
   5.50    705.50   I
   5.60    705.60   think
   5.74    705.74   I
   5.86    705.86   was
   6.02    706.02   a
   6.14    706.14   decade
   6.44    706.44   off
   6.76    706.76   by
   7.12    707.12   assuming
   7.60    707.60   when
   7.90    707.90   we
   8.08    708.08   would
   8.22    708.22   do
   8.36    708.36   this
   8.66    708.66   all
  10.44    710.44   the
  10.58    710.58   way
  10.70    710.70   back
  10.90    710.90   in
  11.06    711.06   like
  11.20    711.20   whatever,
  11.66    711.66   2016,
  12.24    712.24   17,
  12.84    712.84   looking
  13.24    713.24   at
  13.46    713.46   BTC
  13.86    713.86   as
  14.06    714.06   an
  14.14    714.14   underlying.
  14.48    714.48   But
  15.30    715.30   we
  15.70    715.70   are
  16.66    716.66   seeing,
  17.26    717.26   I
  17.36    717.36   think
  17.46    717.46   that
  17.62    717.62   point,
  18.12    718.12   like
  18.20    718.20   you
  18.46    718.46   see
  18.68    718.68   large
  18.92    718.92   financial
  19.30    719.30   institutions
  19.92    719.92   issuing
  20.48    720.48   stuff
  21.20    721.20   like
  21.38    721.38   autocallables,
  22.44    722.44   accelerators
  23.18    723.18   to
  24.16    724.16   their
  24.48    724.48   ultra
  24.84    724.84   high
  24.98    724.98   net
  25.14    725.14   worth
  25.70    725.70   individuals
  26.30    726.30   and
  26.54    726.54   to
  26.66    726.66   their
  26.96    726.96   network,
  27.90    727.90   which
  28.36    728.36   allows
  28.70    728.70   them
  28.90    728.90   to
  29.02    729.02   push.
  29.74    729.74   And
  29.80    729.80   that
  29.94    729.94   I
  30.10    730.10   think
  30.26    730.26   validates
  30.84    730.84   the
  30.96    730.96   fact
  31.16    731.16   that
  31.36    731.36   they've
  31.70    731.70   seen
  31.96    731.96   appetites
  32.64    732.64   from
  32.98    732.98   a
  33.62    733.62   specific
  34.00    734.00   subset
  34.44    734.44   of
  34.66    734.66   like
  34.82    734.82   private
  35.20    735.20   banking
  35.52    735.52   clients
  35.92    735.92   or
  36.08    736.08   ultra
  36.42    736.42   high
  36.56    736.56   net
  36.70    736.70   worth
  36.78    736.78   individuals.
  37.24    737.24   We're
  37.92    737.92   seeing
  38.10    738.10   that
  38.28    738.28   exact
  38.60    738.60   same
  38.88    738.88   thing
  39.10    739.10   on
  39.26    739.26   our
  39.46    739.46   side.
  40.34    740.34   It
  40.82    740.82   is
  41.00    741.00   a
  41.12    741.12   little
  41.26    741.26   bit
  41.42    741.42   of
  41.62    741.62   like
  41.94    741.94   supply
  42.80    742.80   demand
  43.16    743.16   where
  43.62    743.62   I
  44.36    744.36   think
  44.50    744.50   the
  44.64    744.64   product
  44.92    744.92   itself
  45.24    745.24   needs
  45.52    745.52   to
  45.66    745.66   make
  45.84    745.84   a
  45.94    745.94   lot
  46.04    746.04   of
  46.16    746.16   sense
  46.50    746.50   for
  47.10    747.10   people.
  47.74    747.74   It's
  47.94    747.94   not
  48.12    748.12   like
  48.44    748.44   there's
  48.86    748.86   this
  49.28    749.28   insaturable
  50.74    750.74   demand
  51.10    751.10   for
  51.42    751.42   structured
  51.78    751.78   products
  52.14    752.14   at
  52.28    752.28   the
  52.38    752.38   moment,
  52.86    752.86   but
  53.34    753.34   we're
  53.56    753.56   definitely
  53.80    753.80   seeing
  54.18    754.18   like
  54.38    754.38   depending
  54.74    754.74   one
  55.70    755.70   where
  55.90    755.90   we're
  56.08    756.08   seeing
  56.28    756.28   a
  56.42    756.42   lot
  56.52    756.52   of
  56.66    756.66   fit,
  57.00    757.00   for
  57.12    757.12   example,
  57.58    757.58   is
  57.78    757.78   an
  58.02    758.02   accelerator.
  59.30    759.30   Also,
  59.62    759.62   again,
  59.86    759.86   like
  59.98    759.98   some
  60.16    760.16   type
  60.40    760.40   of
  60.50    760.50   structured
  60.82    760.82   products,
  61.68    761.68   accelerators
  62.22    762.22   are
  62.44    762.44   seeing
  63.54    763.54   pretty
  63.82    763.82   good
  64.06    764.06   fit.
  64.34    764.34   It
  64.72    764.72   also
  64.96    764.96   depends
  65.38    765.38   geographically.
  66.50    766.50   Obviously,
  66.72    766.72   I
  67.02    767.02   think
  67.22    767.22   Asia
  67.60    767.60   has
  67.82    767.82   been
  67.98    767.98   ahead
  68.26    768.26   on
  68.74    768.74   structured
